KGDS/BÖLGE;1;2;3;4;5;6;7;8;9;;;;;;;;;;;;;
28,5 kg;230,30;286,07;285,78;334,76;341,68;354,71;354,71;354,71;408,02;;;;;;;;;;;;;
29,0 kg;233,22;288,40;288,09;340,62;346,37;359,40;359,40;359,40;413,88;;;;;;;;;;;;;
29,5 kg;236,14;290,73;290,41;346,48;351,05;364,08;364,08;364,08;419,75;;;;;;;;;;;;;
30,0 kg;239,07;293,06;292,72;352,35;355,73;368,76;368,76;368,76;425,61;;;;;;;;;;;;;
31,0 kg;245,54;301,29;300,96;362,94;367,51;386,40;386,40;386,40;449,13;;;;;;;;;;;;;
32,0 kg;252,01;309,52;309,19;373,54;379,29;404,05;404,05;404,05;472,66;;;;;;;;;;;;;
33,0 kg;258,49;317,75;317,42;384,14;391,07;421,69;421,69;421,69;496,18;;;;;;;;;;;;;
34,0 kg;264,96;325,98;325,65;394,73;402,85;439,33;439,33;439,33;519,71;;;;;;;;;;;;;
35,0 kg;271,43;334,21;333,88;405,33;414,62;456,98;456,98;456,98;543,23;;;;;;;;;;;;;
36,0 kg;277,90;342,44;342,11;415,93;426,40;474,62;474,62;474,62;566,76;;;;;;;;;;;;;
37,0 kg;284,38;350,68;350,34;426,52;438,18;492,26;492,26;492,26;590,28;;;;;;;;;;;;;
38,0 kg;290,85;358,91;358,57;437,12;449,96;509,91;509,91;509,91;613,81;;;;;;;;;;;;;
39,0 kg;297,32;367,14;366,80;447,71;461,74;527,55;527,55;527,55;637,33;;;;;;;;;;;;;
40,0 kg;303,79;375,37;375,03;458,31;473,52;545,19;545,19;545,19;660,86;;;;;;;;;;;;;
41,0 kg;310,27;383,60;383,26;468,91;485,30;562,84;562,84;562,84;684,38;;;;;;;;;;;;;
42,0 kg;316,74;391,83;391,49;479,50;497,08;580,48;580,48;580,48;707,91;;;;;;;;;;;;;
43,0 kg;323,21;400,06;399,72;490,10;508,86;598,12;598,12;598,12;731,43;;;;;;;;;;;;;
44,0 kg;329,69;408,29;407,95;500,70;520,64;615,77;615,77;615,77;754,96;;;;;;;;;;;;;
45,0 kg;336,16;416,52;416,18;511,29;532,42;633,41;633,41;633,41;778,48;;;;;;;;;;;;;
46,0 kg;342,63;424,75;424,41;521,89;544,20;651,06;651,06;651,06;802,01;;;;;;;;;;;;;
47,0 kg;349,10;432,98;432,64;532,49;555,98;668,70;668,70;668,70;825,53;;;;;;;;;;;;;
48,0 kg;355,58;441,21;440,87;543,08;567,76;686,34;686,34;686,34;849,06;;;;;;;;;;;;;
49,0 kg;362,05;449,44;449,10;553,68;579,53;703,99;703,99;703,99;872,58;;;;;;;;;;;;;
50,0 kg;368,52;457,67;457,33;564,27;591,31;721,63;721,63;721,63;896,11;;;;;;;;;;;;;
51,0 kg;374,99;465,90;465,56;574,87;603,09;739,27;739,27;739,27;919,63;;;;;;;;;;;;;
52,0 kg;381,47;474,13;473,79;585,47;614,87;756,92;756,92;756,92;943,16;;;;;;;;;;;;;
