ARAMEX SUPPORTED COUNTRIES;;;;;;;;;;
BAHRAIN;;;;;;;;;;
JORDAN;;;;;;;;;;
KUWAIT;;;;;;;;;;
QATAR;;;;;;;;;;
UAE;;;;;;;;;;
SAUDI ARABIA;;;;;;;;;;
OMAN;;;;;;;;;;
LEBANON;;;;;;;;;;
EGYPT;;;;;;;;;; 
